name;DESCRIPTION;
112.053.51;Class Certificate Renewal Survey;
112.053.61;Boiler Survey;
112.053.63;Exhaust Gas Economizer Survey;
112.053.66;Docking Survey;
112.054;CERTIFICATE OF FITNESS (TANKERS);
112.054.01;Certificate of Fitness - Gas Carriers;
112.054.11;Certificate of Fitness Annual - Gas Carriers ;
112.054.31;Certificate of Fitness Intermediate - Gas Carriers ;
112.054.51;Certificate of Fitness Renewal - Gas Carriers ;
112.055;BALLAST WATER MANAGEMENT;
112.055.01;Ballast Water Management Certificate;
112.055.11;Ballast Water Management Annual;
112.055.31;Ballast Water Management Intermediate/Periodical;
112.055.51;Ballast Water Management Renewal;
112.057;CERTIFICATE OF FITNESS (BULK);
112.057.01;Certificate of Fitness - Liquefied Gases in Bulk;
112.057.11;Certificate of Fitness Annual - Liquefied Gases in Bulk ;
112.057.31;Certificate of Fitness Intermediate - Liquefied Gases in Bulk ;
112.057.51;Certificate of Fitness Renewal - Liquefied Gases in Bulk ;
112.059;CREW ACCOMMODATION ARRANGEMENT (CAA);
112.059.01;Crew Accommodation Arrangement Certificate;
112.059.11;Crew Accommodation Arrangement Annual;
112.059.31;Crew Accommodation Arrangement Intermediate/Periodical;
112.059.51;Crew Accommodation Arrangement Renewal;
112.061;MACHINERY CERTIFICATES;
112.061.01;Life Raft Certificate;
112.061.02;Sewage Treatment Plant Certificate;
112.062;CARGO GEAR CERTIFICATE;
112.062.01;Side Ramp way Certificate Stbd;
112.062.02;Side Ramp way Certificate Port;
112.062.03;Stern Ramp way Certificate;
112.062.04;Movable Ramp way Certificate - Deck XX;
112.062.05;Movable Ramp way Certificate - Deck XX;
112.062.06;Movable Ramp way Certificate - Deck XX;
112.062.07;Movable Ramp way Certificate - Deck XX;
112.062.08;Cargo Handling Gear Book;
112.064;GMDSS CERTIFICATES;
112.064.01;GMDSS Radio Certificate;
112.064.11;GMDSS Radio Annual;
112.064.31;GMDSS Radio Intermediate/Periodical;
112.064.51;GMDSS Radio Renewal;
112.071;GAS SURVEY;
112.071.11;Gas Survey Annual - Gas Carriers ;
112.071.31;Gas Survey Intermediate - Gas Carriers ;
112.071.51;Gas Survey Renewal - Gas Carriers ;
112.081;PORT STATE CONTROL CERTIFICATE;
112.091;MISCELLANEOUS CERTIFICATES;
112.091.01;USCG Pollution Certificate;
112.091.02;California Water Pollution Certificate;
112.091.03;GMDSS Maintenance Contract;
112.091.04;Cargo Gear Certificate;
112.091.05;Ship Sanitation Control Exemption (SSCE) Certificate;
112.091.06;Ship Station License;
112.091.07;CO2 Certificate;
112.091.08;Medicine Chest Certificate;
112.091.09;Compass Adjustment Certificate;
112.091.10;O2 Meter Calibration Certificate;
112.091.11;Gas Detector Calibration Certificate;
112.091.12;Lifeboat Release System Certificate;
112.091.13;Certificate of Financial Responsibility (California);
112.091.14;Inspection of Crew Accommodation Certificate;
112.091.15;Self-Contained Breathing (SCBA) Air Test;
112.091.16;Document of Compliance;
112.091.17;Loadicator Annual Check (Class);
112.091.18;Suez Canal Tonnage Certificate;
112.091.19;Panama Canal Tonnage Certificate;
112.091.20;Oxygen / Acetylene Certificate;
112.091.21;Elevator Certificate;
112.091.22;Environment Management System (ISO14001);
112.091.23;Green Passport Statement of Compliance;
112.091.24;Grain Loading Declaration;
112.091.25;Access to Bow Exemption Certificate;
112.091.26;Certificate of Financial Responsibility - Water Pollution (USA);
112.091.27;ITF Blue Certificate;
112.091.28;International Tanker Owners Pollution Federation (ITOPF);
112.091.29;Freeboard Assignment Certificate;
112.091.30;Japan Tonnage Certificate;
112.091.31;Trade Certificate;
112.091.32;Internation Vessel Safety Condition Certificate;
112.091.33;Refrigerant Certificate;
112.091.34;Quality Management System ISO:9001;
112.501;Vessel Inspections;
14;WORK ON WAYS
144;DRY / SLIP DOCKING
144.001;Dry Docking;
15;QUALITY CONTROL
156;HEALTH
156.001;Lifeboat Drill;
156.002;Rescue Boat Drill;
156.003;Fire Drill;
156.004;Oil Pollution and Prevention Drill;
156.005;Emergency Steering Gear Drill;
156.006;Emergency Manoeuvre Drill;
156.007;Man Overboard Drill;
156.008;General Alarm Drill;
156.009;Life raft Drill;
156.010;Damage Control Drill;
156.011;Pollution Prevention Drill;
156.012;Stowaway Search Drill;
156.013;Piracy Attack Drill;
156.091;Blackout Drill;
156.201;Safety Management System (SMS);
159;MISCELLANEOUS MAINTENANCE;
159.001;Miscellaneous Maintenance Jobs (MMS);
159.002;Miscellaneous Services;
